Twitter Handle & User Name,Tweet, external URL,Hashtags,Date of Tweet,Followers,Following,RT,FAV
"Lowetide , Lowetide","b""@C_Ragg @TheAthleticEDM I think they'll play, not sure where there. It isn't clear to me Wells&gt;Skinner, although th\\u2026 https://t.co/uyw1qgGyLp""",https://twitter.com/i/web/status/1042923788826865664,no hashtags in this tweet,Thu Sep 20 23:49:42 +0000 2018,24945,12864,0,0
"Lowetide , Lowetide","b'@Alex_Thomas14 @TheAthleticEDM and by that I mean if they can hit on enough of JP, Benson, Berglund, McPhee, Yamamo\\u2026 https://t.co/iMrsmGGjiT'",https://twitter.com/i/web/status/1042921950887043072,no hashtags in this tweet,Thu Sep 20 23:42:24 +0000 2018,24945,12864,0,1
"Lowetide , Lowetide",b'@Alex_Thomas14 @TheAthleticEDM The 2016-18 drafts are going to be huge',no external urls in this tweet,no hashtags in this tweet,Thu Sep 20 23:33:46 +0000 2018,24945,12864,0,0
"Lowetide , Lowetide","b""@Alex_Thomas14 @TheAthleticEDM They just can't quit him! :-)""",no external urls in this tweet,no hashtags in this tweet,Thu Sep 20 23:30:23 +0000 2018,24945,12864,0,2
"Lowetide , Lowetide","b""@Alex_Thomas14 @TheAthleticEDM Agree the time was right. I thought he hit a bit of a wall in the last game, didn't\\u2026 https://t.co/VG759Xu3Ax""",https://twitter.com/i/web/status/1042918509326422017,no hashtags in this tweet,Thu Sep 20 23:28:43 +0000 2018,24945,12864,0,1
"Lowetide , Lowetide","b'For @TheAthleticEDM Oilers Thursday cuts are curious in some areas, indicate the need for speed in others   https://t.co/vv8aBTwW4i #Oilers'",https://theathletic.com/537382/2018/09/20/lowetide-after-more-oilers-cuts-roster-decisions-coming-into-focus/,['Oilers'],Thu Sep 20 23:21:36 +0000 2018,24945,12864,1,4
"Lowetide , Lowetide","b'RT @stevesilberman: This is just a tender and lovely piece from poet and novelist Collin Kelley\'s upcoming ""Midnight in a Perfect World."" h\\u2026'",no external urls in this tweet,no hashtags in this tweet,Thu Sep 20 23:08:10 +0000 2018,24945,12864,11,0
"Lowetide , Lowetide","b'RT @IanOyeg: Another day, another #walk. (Thanks @EricGormley1 )\\n\\n#YEG #Edmonton #yegdt #fall #walkable https://t.co/yIeRMkBjKU'",no external urls in this tweet,"['walk', 'YEG', 'Edmonton', 'yegdt', 'fall', 'walkable']",Thu Sep 20 22:59:20 +0000 2018,24945,12864,1,0
"Lowetide , Lowetide","b""@loxyisme That's a beautiful photo. Love those colours!""",no external urls in this tweet,no hashtags in this tweet,Thu Sep 20 22:39:26 +0000 2018,24945,12864,0,0
"Lowetide , Lowetide","b""@loxyisme I love that weather. If there's a breeze, light jacket. Fall colours everywhere, some warmth to the sun.\\u2026 https://t.co/nER92iBTYB""",https://twitter.com/i/web/status/1042904689996492800,no hashtags in this tweet,Thu Sep 20 22:33:48 +0000 2018,24945,12864,0,2
"Lowetide , Lowetide",b'10 degrees Celsius is awesome #UnpopularOpinion',no external urls in this tweet,['UnpopularOpinion'],Thu Sep 20 22:32:08 +0000 2018,24945,12864,0,22
"Lowetide , Lowetide","b'If 1975 ever happens by, it will die of shock just over the headlines. https://t.co/jfZTH8bmAn'",https://twitter.com/TIME/status/1042899977754820608,no hashtags in this tweet,Thu Sep 20 22:28:34 +0000 2018,24945,12864,1,3
"Lowetide , Lowetide","b'RT @JDNOPICS: 40 years ago today, Joy Division made their debut TV appearance on Granada Reports.\\nIntroduced by the late, great, Tony Wilso\\u2026'",no external urls in this tweet,no hashtags in this tweet,Thu Sep 20 22:16:13 +0000 2018,24945,12864,2569,0
"Lowetide , Lowetide","b""RT @tyleryaremchuk: TSN's @frank_seravalli  joined @Lowetide to discuss the Ottawa Senators and the rest of the Eastern Conference:\\n\\n@TSN12\\u2026""",no external urls in this tweet,no hashtags in this tweet,Thu Sep 20 20:56:37 +0000 2018,24945,12864,2,0
"Lowetide , Lowetide",b'RT @ValaAfshar: How pencils are made \\u270f\\ufe0f https://t.co/asd51amCgZ',no external urls in this tweet,no hashtags in this tweet,Thu Sep 20 19:05:22 +0000 2018,24945,12864,568,0
"Lowetide , Lowetide",b'RT @tyleryaremchuk: Hour 2 of The Lowdown w/ @Lowetide Podcast is up!\\n\\n(21:18) - Our weekly chat with @frank_seravalli \\n\\nhttps://t.co/VWcZ3\\u2026',no external urls in this tweet,no hashtags in this tweet,Thu Sep 20 18:44:36 +0000 2018,24945,12864,3,0
"Lowetide , Lowetide",b'RT @tyleryaremchuk: Hour 1 of The Lowdown w/ @Lowetide Podcast is up!\\n\\n(11:34) - @AJonSports on the #Senators\\n\\n(30:40) - My conversation wi\\u2026',no external urls in this tweet,['Senators'],Thu Sep 20 17:29:23 +0000 2018,24945,12864,2,0
